cnpj,cnpj_basico,identificador_matriz_filial,situacao_cadastral,data_situacao_cadastral,data_de_inicio_atividade,cnae_fiscal_principal,uf,município,natureza_juridica,capital_social_da_empresa,porte_da_empresa,descricao,denominacoes
34001968000154,34001968,MATRIZ,ATIVA,2023-06-29,20190624,4789005,SP,6509,2135,"5000,00",MICRO EMPRESA,Comércio varejista de produtos saneantes domissanitários,OUTRAS ATIVIDADES DE SERVIÇOS
35507175000174,35507175,MATRIZ,ATIVA,2023-01-27,20191113,7319002,SP,6619,2135,"1,00",MICRO EMPRESA,Promoção de vendas,OUTRAS ATIVIDADES DE SERVIÇOS
34002844000193,34002844,MATRIZ,ATIVA,2023-02-07,20190624,5911199,SP,7107,2135,"5000,00",MICRO EMPRESA,"Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente",OUTRAS ATIVIDADES DE SERVIÇOS
35507503000132,35507503,MATRIZ,ATIVA,2023-10-05,20191113,7319002,SP,7157,2135,"1000,00",MICRO EMPRESA,Promoção de vendas,OUTRAS ATIVIDADES DE SERVIÇOS
34007124000110,34007124,MATRIZ,ATIVA,2023-02-13,20190624,8712300,SP,7107,2135,"200,00",MICRO EMPRESA,Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio,OUTRAS ATIVIDADES DE SERVIÇOS
35509466000100,35509466,MATRIZ,ATIVA,2023-03-29,20191113,1813099,SP,7107,2135,"90000,00",MICRO EMPRESA,Impressão de material para outros usos,OUTRAS ATIVIDADES DE SERVIÇOS
34007486000101,34007486,MATRIZ,ATIVA,2023-06-02,20190624,5620104,SP,6861,2135,"5000,00",MICRO EMPRESA,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,OUTRAS ATIVIDADES DE SERVIÇOS
35510980000157,35510980,MATRIZ,ATIVA,2023-05-15,20191113,9700500,SP,6377,2135,"4000,00",MICRO EMPRESA,Serviços domésticos,OUTRAS ATIVIDADES DE SERVIÇOS
34009120000171,34009120,MATRIZ,ATIVA,2023-07-17,20190624,4763602,SP,6177,2135,"1000,00",MICRO EMPRESA,Comércio varejista de artigos esportivos,OUTRAS ATIVIDADES DE SERVIÇOS
35511529000154,35511529,MATRIZ,ATIVA,2023-11-17,20191113,4530703,SP,6875,2135,"8000,00",MICRO EMPRESA,Comércio a varejo de peças e acessórios novos para veículos automotores,OUTRAS ATIVIDADES DE SERVIÇOS
34012651000113,34012651,MATRIZ,ATIVA,2023-03-28,20190624,5611204,SP,6475,2135,"15000,00",MICRO EMPRESA,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",OUTRAS ATIVIDADES DE SERVIÇOS
35514740000120,35514740,MATRIZ,ATIVA,2023-05-16,20191114,8599603,SP,7107,2135,"2543,21",MICRO EMPRESA,Treinamento em informática,OUTRAS ATIVIDADES DE SERVIÇOS
